,price,location,baths,bedrooms,Total_Area
159980,6500000,Bhara kahu,3,3,1633.506
159981,27000000,Bhara kahu,5,5,5445.0
159982,11000000,Bhara kahu,3,4,4083.765
159983,11000000,Bhara kahu,0,4,2722.51
159984,12000000,Bhara kahu,0,8,1633.506
159985,12000000,Bhara kahu,0,8,1633.506
159986,5500000,Bhara kahu,0,5,1361.255
159988,5800000,Bhara kahu,5,5,12251.294999999998
159990,32500000,DHA Defence,5,5,5445.0
159991,7000000,Bhara kahu,3,3,2722.51
159992,7000000,Bhara kahu,3,3,30219.861
159993,9500000,Bhara kahu,7,8,14973.804999999998
159995,135000000,F-10,0,10,130680.0
159997,43500000,I-8,0,5,38659.642
159998,3700000,other,2,2,9528.785
160437,13500000,I-10,0,0,11979.043999999998
160438,45000000,F-11,0,0,25319.343
160440,20000000,Gulberg,0,0,5445.0
160441,37500000,G-11,0,0,25319.343
160443,22000000,B-17,7,6,3811.514
160653,16500000,I-10,5,4,1905.757
160654,14500000,G-13,0,0,11979.043999999998
160655,3600000,DHA Defence,2,2,1361.255
160656,14500000,G-13,0,0,11979.043999999998
160657,12500000,PWD Housing Scheme,0,0,2722.51
160658,46000000,G-13,7,7,39204.144
160659,2800000,DHA Defence,2,2,1361.255
160660,2300000,DHA Defence,2,2,1361.255
160661,7500000,DHA Defence,4,3,2178.008
160662,14000000,F-7,6,7,5445.0
160663,4500000,DHA Defence,4,3,2178.008
160664,6300000,DHA Defence,4,3,2178.008
160677,70000,G-11,3,3,43560.0
160679,13500000,PWD Road,6,5,2722.51
160888,30000000,Bani Gala,0,5,5445.0
160889,35000000,Bani Gala,0,5,81675.0
160890,19000000,Bani Gala,0,6,2722.51
160891,30000000,Bani Gala,0,6,5445.0
160892,17500000,Bani Gala,0,5,2722.51
160893,16000000,Bani Gala,0,6,2722.51
160894,57500000,I-8,0,6,38659.642
160895,75000000,I-8,0,5,65340.0
160896,52500000,I-8,0,6,33759.124
160897,42500000,I-8,0,6,33759.124
160898,47500000,I-8,0,6,33759.124
160899,42500000,I-8,0,3,38659.642
160900,32500000,G-11,4,4,1905.757
160902,75000000,I-8,9,9,65340.0
160903,15000000,CBR Town,4,4,1905.757
160904,57500000,I-8,0,6,38659.642
160905,90000000,I-8,6,6,65340.0
160906,15000000,CBR Town,5,4,2178.008
160908,1,PWD Road,4,4,544.502
160909,15000000,CBR Town,5,4,2178.008
160910,58000000,I-8,0,9,33759.124
160911,52500000,I-8,0,6,33759.124
160912,55000000,I-8,0,6,33759.124
160913,41000000,I-8,0,6,33759.124
160914,41500000,I-8,0,6,33759.124
160915,55000000,I-8,0,6,33759.124
160916,62500000,I-8,0,6,5445.0
160917,55000000,I-8,0,6,38659.642
160918,58000000,I-8,0,9,33759.124
161170,50000000,I-8,0,6,38659.642
161171,15000000,CBR Town,5,4,2178.008
161172,14800000,CBR Town,5,4,2178.008
161173,37000000,G-10,6,6,2178.008
161174,45000000,I-8,0,6,33759.124
161175,55000000,I-8,0,6,38659.642
161176,68000000,I-8,0,6,38659.642
161177,39000000,I-8,0,6,33759.124
161178,59000000,I-8,0,6,38659.642
161179,45000000,I-8,0,6,33759.124
161180,52500000,I-8,0,6,38659.642
161181,60000000,I-8,0,6,33759.124
161182,47500000,I-8,0,6,33759.124
161183,60000000,I-8,0,6,38659.642
161184,62500000,I-8,0,7,38659.642
161185,47000000,I-8,0,6,33759.124
161186,45000000,I-8,0,0,38659.642
161187,27000000,G-11,4,4,1361.255
161188,12500000,Naval Anchorage,5,4,1361.255
161189,12000000,Naval Anchorage,5,4,1361.255
161190,17500000,G-13,5,5,11979.043999999998
161191,61000000,G-13,10,9,65340.0
161192,35000000,Bahria Town,7,6,5445.0
161193,45000000,G-10,7,7,3539.263
